o,p,s
http://www.phenome-fppn.fr/diaphen/2018/o18000028,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000028,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg314
http://www.phenome-fppn.fr/diaphen/2018/o18000028,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,28/DZ_PG_72/ZM4398/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000028,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000028,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000029,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000029,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000029,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg202
http://www.phenome-fppn.fr/diaphen/2018/o18000029,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,29/DZ_PG_47/ZM4362/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000029,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000029,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000030,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000030,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000030,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg321
